title,link,category,sentiment_score,source_name
Tương quan trước trận Bồ Đào Nha - Uzbekistan,https://vnexpress.net/tuong-quan-truoc-tran-bo-dao-nha-uzbekistan-5089110.html,General,0.0,VnExpress
'Tiếng xấu' sau nghỉ việc,https://vnexpress.net/tieng-xau-sau-nghi-viec-5088668.html,General,0.0,VnExpress
Cần bản đồ rủi ro cho từng vùng để ứng phó với El Nino rất mạnh,https://vnexpress.net/can-ban-do-rui-ro-cho-tung-vung-de-ung-pho-voi-el-nino-rat-manh-5088970.html,General,0.0,VnExpress
Quyền Bộ trưởng Hải quân Mỹ: 'Việt Nam là cội nguồn của tôi',https://vnexpress.net/quyen-bo-truong-hai-quan-my-viet-nam-la-coi-nguon-cua-toi-5088900.html,General,0.0,VnExpress
Phát hiện hang động mới giữa rừng nguyên sinh ở Quảng Trị,https://vnexpress.net/phat-hien-hang-dong-moi-giua-rung-nguyen-sinh-o-quang-tri-5089039.html,General,0.0,VnExpress
Khoảnh khắc 'tên lửa Storm Shadow' lao xuống nhà máy Nga,https://vnexpress.net/khoanh-khac-ten-lua-storm-shadow-lao-xuong-nha-may-nga-5088932.html,General,0.0,VnExpress
Trung tướng Trương Mạnh Dũng làm Phó tổng tham mưu trưởng QĐND Việt Nam,https://vnexpress.net/trung-tuong-truong-manh-dung-lam-pho-tong-tham-muu-truong-qdnd-viet-nam-5089017.html,General,0.0,VnExpress
Hà Nội cấm phương tiện trên nhiều tuyến đường trong hai ngày,https://vnexpress.net/ha-noi-cam-phuong-tien-tren-nhieu-tuyen-duong-trong-hai-ngay-5089075.html,General,0.0,VnExpress
'Vua phương Bắc' có thể trở thành thủ tướng tương lai của Anh,https://vnexpress.net/vua-phuong-bac-co-the-tro-thanh-thu-tuong-tuong-lai-cua-anh-5088703.html,General,0.0,VnExpress
Tuchel: 'Phải thắng Tây Ban Nha nếu muốn vô địch World Cup',https://vnexpress.net/tuchel-phai-thang-tay-ban-nha-neu-muon-vo-dich-world-cup-5088986.html,General,0.0,VnExpress
TP HCM đề xuất bỏ áp dụng hệ số K khi bồi thường giải phóng mặt bằng,https://vnexpress.net/tp-hcm-de-xuat-bo-ap-dung-he-so-k-khi-boi-thuong-giai-phong-mat-bang-5088753.html,General,0.0,VnExpress
Lương công chức cao nhất 25 triệu đồng từ 1/7,https://vnexpress.net/tra-cuu-luong-cong-chuc-tu-1-7-5088843.html,General,0.0,VnExpress
Cựu giám đốc khai 'đi mổ u vẫn bị sếp thúc đòi chia tiền tham ô',https://vnexpress.net/cuu-giam-doc-khai-di-mo-u-van-bi-sep-thuc-doi-chia-tien-tham-o-5088993.html,General,0.0,VnExpress
Tỷ phú Phạm Nhật Vượng mua gần 5% vốn LPBank,https://vnexpress.net/ty-phu-pham-nhat-vuong-mua-gan-5-von-lpbank-5088909.html,General,0.0,VnExpress
HLV Martinez: 'Ronaldo là mảnh ghép cuối cùng của Bồ Đào Nha',https://vnexpress.net/hlv-martinez-ronaldo-la-manh-ghep-cuoi-cung-cua-bo-dao-nha-5088923.html,General,0.0,VnExpress
TP HCM công bố điểm chuẩn lớp 10 ngày 30/6,https://vnexpress.net/tp-hcm-cong-bo-diem-chuan-lop-10-ngay-30-6-5088893.html,General,0.0,VnExpress
Xác định đội châu Á đầu tiên bị loại ở World Cup 2026,https://vnexpress.net/xac-dinh-doi-chau-a-dau-tien-bi-loai-o-world-cup-2026-5088905.html,General,0.0,VnExpress
Tai nạn liên hoàn gây ùn tắc 5 km trên đèo nối Đà Lạt - Phan Thiết,https://vnexpress.net/tai-nan-lien-hoan-gay-un-tac-5-km-tren-deo-noi-da-lat-phan-thiet-5089095.html,General,0.0,VnExpress
"Quảng Ninh định hướng trở thành đô thị di sản 3,8 triệu dân vào năm 2050",https://vnexpress.net/quang-ninh-dinh-huong-tro-thanh-do-thi-di-san-3-8-trieu-dan-vao-nam-2050-5089092.html,General,0.0,VnExpress
Gia đình Messi vỡ òa trên khán đài sau chiến thắng của Argentina,https://vnexpress.net/gia-dinh-messi-vo-oa-tren-khan-dai-sau-chien-thang-cua-argentina-5088915.html,General,0.0,VnExpress
Giá USD thế giới lên cao nhất một năm,https://vnexpress.net/gia-usd-the-gioi-len-cao-nhat-mot-nam-5089015.html,General,0.0,VnExpress
Mỹ lần đầu để Iran bán dầu bằng USD sau nhiều thập kỷ,https://vnexpress.net/my-lan-dau-de-iran-ban-dau-bang-usd-sau-nhieu-thap-ky-5088931.html,General,0.0,VnExpress
Đội tuyển Na Uy chèo thuyền kiểu Viking mừng đi tiếp ở World Cup,https://vnexpress.net/doi-tuyen-na-uy-cheo-thuyen-kieu-viking-mung-di-tiep-o-world-cup-5088910.html,General,0.0,VnExpress
"Măng cụt được mùa, giá xuống đáy",https://vnexpress.net/mang-cut-duoc-mua-gia-xuong-day-5088351.html,General,0.0,VnExpress
Kiểm định toàn bộ chung cư 34 tầng ở Vũng Tàu vì thêm nhiều vết nứt,https://vnexpress.net/kiem-dinh-toan-bo-chung-cu-34-tang-o-vung-tau-vi-them-nhieu-vet-nut-5089004.html,General,0.0,VnExpress
